FUS(G156E)-EGFP / μM,PEG 6000 / % (w/w),feature,bis-ANS
1.808897141,4.987779401,TRUE,FALSE
1.520377237,3.218336302,TRUE,FALSE
1.413263352,4.829270847,TRUE,FALSE
1.58379517,5.095482197,TRUE,FALSE
1.76221563,3.64356711,TRUE,FALSE
1.352555002,6.439932146,TRUE,FALSE
1.897215285,5.136058027,TRUE,FALSE
0.507999782,4.746221251,TRUE,FALSE
2.219723664,4.506786924,TRUE,FALSE
1.854080115,3.677104387,TRUE,FALSE
1.558241867,3.645206045,TRUE,FALSE
1.280393109,4.164216075,TRUE,FALSE
2.039468159,4.042588434,TRUE,FALSE
1.978720255,3.650286955,TRUE,FALSE
1.899015972,4.597100659,TRUE,FALSE
1.460536898,4.487458126,TRUE,FALSE
1.197048014,3.237291033,TRUE,FALSE
2.41814246,3.092668677,TRUE,FALSE
1.87314774,3.383390527,TRUE,FALSE
1.817676494,3.990195603,TRUE,FALSE
1.98925203,4.70585719,TRUE,FALSE
1.88199291,3.659239072,TRUE,FALSE
1.151223451,4.598247446,TRUE,FALSE
0.410773704,6.846473077,TRUE,FALSE
1.726728614,2.929612343,TRUE,FALSE
1.063139965,2.27120396,TRUE,FALSE
0.596687263,8.127216258,TRUE,FALSE
2.429776782,2.889679358,TRUE,FALSE
1.827239387,4.753928706,TRUE,FALSE
2.588614166,2.692469232,TRUE,FALSE
1.42299246,5.312252653,TRUE,FALSE
2.064089354,3.902806414,TRUE,FALSE
1.116859333,4.638062936,TRUE,FALSE
2.772886623,2.052721562,TRUE,FALSE
2.509648856,2.65089064,TRUE,FALSE
0.912845678,3.797773666,TRUE,FALSE
0.27826912,5.845881952,TRUE,FALSE
1.913409071,3.791407475,TRUE,FALSE
1.493991892,5.999591812,TRUE,FALSE
1.019003114,5.229401834,TRUE,FALSE
1.066709647,4.493447407,TRUE,FALSE
0.722059158,4.192069609,TRUE,FALSE
0.646040124,5.85822403,TRUE,FALSE
0.844128956,4.259033508,TRUE,FALSE
1.584917729,3.413938458,TRUE,FALSE
3.12554599,1.834646533,TRUE,FALSE
1.899888947,4.680667375,TRUE,FALSE
1.382289989,5.83575458,TRUE,FALSE
2.288290734,2.106601813,TRUE,FALSE
3.162383284,1.626868802,TRUE,FALSE
1.918473166,5.135761534,TRUE,FALSE
1.919101934,3.384352992,TRUE,FALSE
1.372959615,3.036723488,TRUE,FALSE
2.073825012,2.711740053,TRUE,FALSE
2.203626869,3.6400155,TRUE,FALSE
0.671471008,4.570425819,TRUE,FALSE
1.574004308,3.369330679,TRUE,FALSE
2.256324227,2.448258702,TRUE,FALSE
1.960073969,5.292154334,TRUE,FALSE
2.714416573,2.033113717,TRUE,FALSE
3.453694546,1.658431965,TRUE,FALSE
0.809355167,4.818473416,TRUE,FALSE
