feature,"PolyA, ng/uL","Os-C, uM"
FALSE,34.53539501,7.432839344
FALSE,25.20864581,7.433080485
FALSE,38.67055386,7.433265779
FALSE,36.45829115,7.438999602
FALSE,22.37628579,7.456945121
FALSE,27.06163453,7.464216799
FALSE,29.71749401,7.479119264
FALSE,29.5266666,7.487540944
FALSE,32.99535975,7.490514419
FALSE,30.01842538,7.494771355
FALSE,28.89541763,7.504897018
FALSE,24.47667033,7.511924655
FALSE,31.9286059,7.523194742
FALSE,29.91658953,7.525887925
FALSE,29.79137496,7.538945097
FALSE,37.79024615,7.551901756
FALSE,23.26861074,7.555530597
FALSE,29.65991109,7.558451234
FALSE,33.29080779,7.56198065
FALSE,25.42553643,7.577021113
FALSE,26.59140484,7.579539296
FALSE,35.99637086,7.58076092
FALSE,36.78491378,7.604919347
FALSE,24.29729609,7.611307537
FALSE,32.9815958,7.615054443
FALSE,25.0413601,7.631567847
FALSE,24.21248765,7.63694399
FALSE,23.73904709,7.638933967
FALSE,36.53287587,7.639626894
FALSE,35.3938762,7.644882011
FALSE,26.30880373,7.645493078
FALSE,25.80537081,7.653808696
FALSE,26.11342551,7.658145692
FALSE,25.21291023,7.665665191
FALSE,32.75241557,7.672602838
FALSE,27.63004602,7.672769852
FALSE,24.64369837,7.685624044
FALSE,25.47481617,7.686193945
FALSE,27.29285553,7.689052162
FALSE,39.2582751,7.691855038
FALSE,26.29185621,7.693503769
FALSE,30.78067979,7.701778976
FALSE,25.45314803,7.701997567
TRUE,29.76494005,7.707182625
FALSE,27.65354441,7.709241781
FALSE,27.29578807,7.717470946
FALSE,23.90124222,7.730727262
FALSE,25.43970281,7.732221867
FALSE,31.90957627,7.736602301
TRUE,25.69203543,7.73671994
FALSE,25.88734909,7.742158487
FALSE,34.42801468,7.7488257
FALSE,32.74391077,7.764316889
FALSE,30.75491553,7.78798169
FALSE,24.18256782,7.788692114
FALSE,25.5159959,7.807164905
FALSE,28.24091706,7.812044518
FALSE,32.98883252,7.812228177
FALSE,35.22747602,7.826464788
FALSE,16.41991445,7.82735385
FALSE,25.77057565,7.829322451
FALSE,31.71358298,7.83127728
FALSE,24.29534921,7.834544436
FALSE,24.13168788,7.838052639
FALSE,23.63662627,7.850195448
FALSE,33.9213589,7.858161861
FALSE,24.35850435,7.858734911
FALSE,30.8217206,7.860889428
TRUE,27.47430112,7.861210573
FALSE,26.93303003,7.863830661
FALSE,27.34701323,7.872596253
FALSE,33.38629428,7.874092273
FALSE,23.21742129,7.879740735
FALSE,27.74985899,7.880860185
FALSE,31.89002818,7.880984466
FALSE,34.59997915,7.886293163
FALSE,32.66125995,7.892101278
FALSE,32.49937156,7.892418946
FALSE,25.18490434,7.901332038
FALSE,29.97051401,7.905262521
FALSE,25.34979967,7.910961018
FALSE,24.95155837,7.915125572
FALSE,33.37352258,7.91885175
FALSE,34.24007034,7.924056264
FALSE,35.94412531,7.928862564
FALSE,26.53956354,7.933039913
FALSE,25.03335975,7.937968593
FALSE,24.68693747,7.938872916
FALSE,24.09482269,7.94298486
FALSE,28.55574985,7.94466895
FALSE,33.13587279,7.955798409
FALSE,25.35198723,7.959621309
FALSE,29.25299673,7.960282084
FALSE,34.75033125,7.973176279
FALSE,31.14605345,7.997883899
FALSE,25.64839518,8.000145416
FALSE,34.13142301,8.002458743
FALSE,33.47815111,8.004954534
FALSE,31.76370137,8.009043358
FALSE,34.11556692,8.010831717
FALSE,32.68504964,8.016342884
FALSE,25.58898613,8.031248696
FALSE,25.36912601,8.032286256
FALSE,19.58169613,8.033675708
FALSE,31.07517961,8.038755513
FALSE,17.71310573,8.042089751
FALSE,36.63819307,8.055791455
FALSE,24.6891274,8.067764521
FALSE,27.7579816,8.073185787
FALSE,33.40474941,8.076400278
FALSE,25.11982606,8.083224581
FALSE,33.8311074,8.111240757
FALSE,20.03272639,8.125992101
FALSE,27.66077614,8.12701231
FALSE,33.03687224,8.131563558
FALSE,26.34197089,8.13307175
FALSE,34.53219519,8.138384093
FALSE,30.98141946,8.147294865
FALSE,17.38855671,8.151347502
FALSE,31.96964946,8.153355601
FALSE,18.87262672,8.155591189
FALSE,26.68852792,8.155725956
FALSE,23.4227291,8.163195753
FALSE,26.73408206,8.164040119
FALSE,36.47945787,8.167555818
FALSE,22.94560524,8.170379096
FALSE,34.10111185,8.172801725
FALSE,25.0871688,8.173775636
FALSE,25.78130548,8.188985974
FALSE,24.95422163,8.199241603
FALSE,33.96771715,8.204243285
FALSE,33.98211956,8.206261265
FALSE,31.94428933,8.206675515
FALSE,20.42050414,8.210542393
FALSE,25.67819969,8.220012175
FALSE,28.90772989,8.228108324
FALSE,31.28090722,8.228816575
FALSE,34.12765627,8.230558786
FALSE,22.20113307,8.234478406
FALSE,32.93442764,8.245960552
FALSE,25.5625253,8.255365051
FALSE,36.68794277,8.262630513
FALSE,24.66875524,8.26723896
FALSE,34.10424784,8.271805269
FALSE,31.31036473,8.277671637
FALSE,23.71208734,8.290622644
FALSE,26.63381082,8.290926709
FALSE,26.51735953,8.299928086
FALSE,25.90009307,8.301161141
FALSE,34.60988724,8.304495735
FALSE,24.57817324,8.306486997
FALSE,28.26270231,8.309440848
FALSE,19.4704214,8.316953323
FALSE,19.61608758,8.319669243
FALSE,27.78055954,8.323996033
FALSE,25.26528592,8.337735365
FALSE,35.65415745,8.338469351
FALSE,17.41480162,8.341303864
FALSE,35.10750964,8.342580974
